Sample_id,Geo_Level,Temp_Level,Longitude,Latitude
G1M007,NA,NA,NA,NA
G1M008,NA,NA,NA,NA
G1M034,NA,NA,NA,NA
G4G3663,Demerara-Mahaica,2022-Q4,-58.95,5.267
G4G3707,Demerara-Mahaica,2022-Q3,-58.624,6.527
G4G3715,Demerara-Mahaica,2022-Q3,-59.2,6
G4G3742,Demerara-Mahaica,2022-Q4,NA,NA
G4G3751,Demerara-Mahaica,2022-Q4,-59.64,6.937
G4G3755,Demerara-Mahaica,2022-Q4,NA,NA
G4G3756,Demerara-Mahaica,2022-Q4,-59.683,8.15
G4G3758,Demerara-Mahaica,2022-Q4,-58.683,6.383
G4G3763,Demerara-Mahaica,2022-Q4,-58.683,6.383
G4G3772,Demerara-Mahaica,2022-Q4,-59.167,5.433
G4G3773,Demerara-Mahaica,2022-Q4,-59.633,7.333
G4G3775,Demerara-Mahaica,2022-Q4,-59.2,6
G4G3776,Demerara-Mahaica,2022-Q4,NA,NA
G4G3778,Demerara-Mahaica,2022-Q4,NA,NA
G4G3782,Demerara-Mahaica,2022-Q4,-59.633,7.333
G4G3783,Demerara-Mahaica,2022-Q4,-58.683,6.383
G4G3787,Demerara-Mahaica,2022-Q4,-59.15,5.267
G4G3790,Demerara-Mahaica,2022-Q4,-59.15,5.267
G4G3791,Demerara-Mahaica,2022-Q4,NA,NA
G4G3793,Demerara-Mahaica,2022-Q4,NA,NA
G4G3802,Demerara-Mahaica,2022-Q4,-59.2,6
G4G3803,Demerara-Mahaica,2022-Q4,-59.417,5.817
G4G3807,Demerara-Mahaica,2022-Q4,-60.333,6.467
G4G3811,Demerara-Mahaica,2022-Q4,-59.633,7.333
G4G3817,Demerara-Mahaica,2022-Q4,-59.15,5.267
G4G3825,Demerara-Mahaica,2022-Q4,-60.271,6.983
G4G3839,Demerara-Mahaica,2022-Q4,-59.2,6
G4G3842,Demerara-Mahaica,2022-Q1,-59.167,5.433
G4G3845,Demerara-Mahaica,2022-Q1,-59.383,5.833
G4G3855,Demerara-Mahaica,2022-Q1,-59.15,5.267
G4G3860,Demerara-Mahaica,2022-Q2,NA,NA
G4G3864,Demerara-Mahaica,2022-Q3,-59.15,6.467
G4G3866,Demerara-Mahaica,2022-Q3,-59.15,5.267
G4G3867,Demerara-Mahaica,2022-Q3,-60.271,6.983
G4G3872,Demerara-Mahaica,2022-Q3,-59.2,6
G4G3876,Demerara-Mahaica,2022-Q3,NA,NA
G4G3877,Demerara-Mahaica,2022-Q4,-59,5.267
G4G3887,Demerara-Mahaica,2022-Q4,-58.683,6.383
G4G3891,Demerara-Mahaica,2022-Q4,-59.2,6
G4G3892,Demerara-Mahaica,2022-Q4,-59.167,6.75
G4G3894,Demerara-Mahaica,2022-Q4,-60.271,6.983
G4G3895,Demerara-Mahaica,2022-Q4,NA,NA
G4G3900,Demerara-Mahaica,2022-Q4,-61.1,6.733
G4G3925,Demerara-Mahaica,2022-Q4,-60.35,6.9
G7B915,NA,NA,NA,NA
G7B918,NA,NA,NA,NA
G7B920,NA,NA,NA,NA
G7B923,NA,NA,NA,NA
G7B924,NA,NA,NA,NA
G7B925,NA,NA,NA,NA
G7B926,NA,NA,NA,NA
G7B927,NA,NA,NA,NA
G7B929,NA,NA,NA,NA
G7B930,NA,NA,NA,NA
G7B931,NA,NA,NA,NA
G7B933,NA,NA,NA,NA
G7B934,NA,NA,NA,NA
G7B937,NA,NA,NA,NA
G7B939,NA,NA,NA,NA
G7B943,NA,NA,NA,NA
G7B944,NA,NA,NA,NA
G7B947,NA,NA,NA,NA
G7B948,NA,NA,NA,NA
G7B952,NA,NA,NA,NA
G7B953,NA,NA,NA,NA
G7B955,NA,NA,NA,NA
G7B956,NA,NA,NA,NA
G7B957,NA,NA,NA,NA
G7B958,NA,NA,NA,NA
G7B959,NA,NA,NA,NA
G7B964,NA,NA,NA,NA
G7B967,NA,NA,NA,NA
G7B968,NA,NA,NA,NA
G7B969,NA,NA,NA,NA
G7B972,NA,NA,NA,NA
G7B973,NA,NA,NA,NA
G7B977,NA,NA,NA,NA
G7B979,NA,NA,NA,NA
G7B980,NA,NA,NA,NA
G7B981,NA,NA,NA,NA
G7B984,NA,NA,NA,NA
G7B985,NA,NA,NA,NA
G7B986,NA,NA,NA,NA
G7B987,NA,NA,NA,NA
G7B988,NA,NA,NA,NA
G7B995,NA,NA,NA,NA
G7B998,NA,NA,NA,NA
G7B1008,NA,NA,NA,NA
G7B936,NA,2022-Q3,NA,NA
NegControl1,NA,NA,NA,NA
NegControl2,NA,NA,NA,NA
PCRControl,NA,NA,NA,NA
PosControl,NA,NA,NA,NA
